,max_temp,rainfall,snowfall,bike_rides,month,holiday,weekend
2015-05-31,83,0.25,0.0,469,5,False,True
2015-06-01,56,0.0001,0.0,113,6,False,False
2015-06-02,63,0.0,0.0,139,6,False,False
2015-06-03,71,0.0,0.0,131,6,False,False
2015-06-04,78,0.0,0.0,207,6,False,False
2015-06-05,83,0.02,0.0,270,6,False,False
2015-06-06,76,0.0,0.0,368,6,False,True
2015-06-07,85,0.0,0.0,414,6,False,True
2015-06-08,80,0.41,0.0,121,6,False,False
2015-06-09,76,0.03,0.0,249,6,False,False
2015-06-10,86,0.0,0.0,263,6,False,False
2015-06-11,90,0.0,0.0,216,6,False,False
2015-06-12,90,0.15,0.0,265,6,False,False
2015-06-13,85,0.07,0.0,344,6,False,True
2015-06-14,85,1.38,0.0,304,6,False,True
2015-06-15,84,1.6,0.0,180,6,False,False
2015-06-16,82,0.6,0.0,314,6,False,False
2015-06-17,73,0.01,0.0,296,6,False,False
2015-06-18,85,0.67,0.0,254,6,False,False
2015-06-19,79,0.01,0.0,289,6,False,False
2015-06-20,76,0.15,0.0,218,6,False,True
2015-06-21,84,0.0,0.0,454,6,False,True
2015-06-22,85,0.0,0.0,460,6,False,False
2015-06-23,84,0.2,0.0,376,6,False,False
2015-06-24,80,0.0,0.0,452,6,False,False
2015-06-25,75,0.45,0.0,200,6,False,False
2015-06-26,81,0.0001,0.0,378,6,False,False
2015-06-27,76,1.12,0.0,183,6,False,True
2015-06-28,67,0.09,0.0,466,6,False,True
2015-06-29,76,0.21,0.0,305,6,False,False
2015-06-30,77,0.17,0.0,255,6,False,False
2015-07-01,75,0.0001,0.0,387,7,False,False
2015-07-02,78,0.0,0.0,467,7,False,False
2015-07-03,79,0.58,0.0,593,7,True,False
2015-07-04,80,0.0,0.0,757,7,False,True
2015-07-05,82,0.0,0.0,600,7,False,True
2015-07-06,83,0.33,0.0,278,7,False,False
2015-07-07,85,1.44,0.0,291,7,False,False
2015-07-08,73,0.07,0.0,324,7,False,False
2015-07-09,82,0.43,0.0,228,7,False,False
2015-07-10,73,0.03,0.0,359,7,False,False
2015-07-11,83,0.0,0.0,663,7,False,True
2015-07-12,80,0.03,0.0,396,7,False,True
2015-07-13,82,0.0001,0.0,297,7,False,False
2015-07-14,80,0.36,0.0,245,7,False,False
2015-07-15,77,0.05,0.0,347,7,False,False
2015-07-16,80,0.0,0.0,494,7,False,False
2015-07-17,83,0.0001,0.0,417,7,False,False
2015-07-18,88,0.0,0.0,557,7,False,True
2015-07-19,88,0.24,0.0,402,7,False,True
2015-07-20,85,0.01,0.0,336,7,False,False
2015-07-21,84,0.04,0.0,343,7,False,False
2015-07-22,78,0.0,0.0,490,7,False,False
2015-07-23,81,0.0,0.0,469,7,False,False
2015-07-24,85,0.0,0.0,442,7,False,False
2015-07-25,87,0.0,0.0,649,7,False,True
2015-07-26,87,0.0,0.0,855,7,False,True
2015-07-27,89,0.0,0.0,369,7,False,False
2015-07-28,92,0.0,0.0,323,7,False,False
2015-07-29,91,0.0,0.0,328,7,False,False
2015-07-30,87,0.0001,0.0,330,7,False,False
2015-07-31,87,0.0001,0.0,460,7,False,False
2015-08-01,83,0.0,0.0,544,8,False,True
2015-08-02,87,0.0,0.0,537,8,False,True
2015-08-03,84,0.93,0.0,250,8,False,False
2015-08-04,83,0.0,0.0,384,8,False,False
2015-08-05,80,0.0,0.0,435,8,False,False
2015-08-06,72,0.0,0.0,404,8,False,False
2015-08-07,78,0.0,0.0,452,8,False,False
2015-08-08,85,0.0,0.0,534,8,False,True
2015-08-09,85,0.0,0.0,523,8,False,True
2015-08-10,84,0.03,0.0,296,8,False,False
2015-08-11,83,0.0001,0.0,417,8,False,False
2015-08-12,79,0.0001,0.0,392,8,False,False
2015-08-13,79,0.0,0.0,416,8,False,False
2015-08-14,86,0.0,0.0,403,8,False,False
2015-08-15,87,0.0,0.0,561,8,False,True
2015-08-16,89,0.0,0.0,429,8,False,True
2015-08-17,90,0.0001,0.0,410,8,False,False
2015-08-18,80,1.12,0.0,282,8,False,False
2015-08-19,88,0.0,0.0,420,8,False,False
