Date,Units
2015-02-02,12.0
2015-02-03,13.0
2015-02-04,27.0
2015-02-05,29.0
2015-02-06,
2015-02-07,1.0
2015-02-08,
2015-02-09,26.0
2015-02-10,
2015-02-11,11.0
2015-02-12,
2015-02-13,
2015-02-14,
2015-02-15,
2015-02-16,10.0
2015-02-17,
2015-02-18,
2015-02-19,26.0
2015-02-20,
2015-02-21,6.0
2015-02-22,
2015-02-23,
2015-02-24,
2015-02-25,10.0
2015-02-26,5.0
2015-02-27,
2015-02-28,
2015-03-01,
2015-03-02,
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,34.0
2015-03-07,
2015-03-08,
2015-03-09,
2015-03-10,
2015-03-11,
2015-03-12,19.0
2015-03-13,28.0
2015-03-14,
2015-03-15,37.0
2015-03-16,3.0
2015-03-17,18.0
2015-03-18,
2015-03-19,
2015-03-20,
2015-03-21,19.0
2015-03-22,25.0
2015-03-23,
2015-03-24,
2015-03-25,21.0
2015-03-26,3.0
2015-03-27,6.0
2015-03-28,5.0
