state,district,total,Obama,Romney,winner
AK,Alaska,220596,41.567390161199654,54.95747883007851,Romney
AL,Autauga,23909,26.57576644778117,72.63373624994772,Romney
AL,Baldwin,84988,21.566574104579463,77.3897491410552,Romney
AL,Barbour,11459,51.2522907758094,48.3375512697443,Obama
AL,Bibb,8391,26.21856751281135,73.06638064593018,Romney
AL,Blount,23980,12.347789824854045,86.49291075896579,Romney
AL,Bullock,5318,76.30688228657391,23.50507709665288,Obama
AL,Butler,9483,46.05082779711061,53.580090688600656,Romney
AL,Calhoun,46240,33.52076124567474,65.46712802768168,Romney
AL,Chambers,14562,47.06084329075677,52.16316440049443,Romney
AL,Cherokee,9761,21.780555270976333,76.7749206023973,Romney
AL,Chilton,17434,19.450499024893887,79.78662383847654,Romney
AL,Choctaw,7965,47.520401757689896,52.102950408035156,Romney
AL,Clarke,13827,45.6859767122297,53.97410862804658,Romney
AL,Clay,6640,26.65662650602409,72.31927710843374,Romney
AL,Cleburne,6302,15.407807045382418,83.60837829260551,Romney
AL,Coffee,19715,24.8490996703018,74.24803449150393,Romney
AL,Colbert,23374,39.18884230341405,59.60041071275776,Romney
AL,Conecuh,7013,50.63453586197063,48.96620561813774,Obama
AL,Coosa,5243,41.731832920083924,57.753194735838264,Romney
AL,Covington,15415,20.467077521894254,78.806357444048,Romney
AL,Crenshaw,6411,31.94509436905319,67.47777257838091,Romney
AL,Cullman,33178,14.63319066851528,84.18228946892519,Romney
AL,Dale,18551,28.478249150989164,70.64309201660288,Romney
AL,Dallas,20936,69.73156285823461,30.0152846771112,Obama
AL,DeKalb,23842,21.95705058300478,76.82241422699437,Romney
AL,Elmore,35440,25.225733634311513,73.99266365688487,Romney
AL,Escambia,14832,36.92017259978425,62.452804746494074,Romney
AL,Etowah,42490,30.105907272299362,68.49140974346906,Romney
AL,Fayette,7912,22.788169868554093,76.26390293225481,Romney
AL,Franklin,10859,29.20158393958928,69.68413297725388,Romney
AL,Geneva,11318,18.01555045060965,81.04788831949108,Romney
AL,Greene,5328,84.7222222222222,14.996246246246248,Obama
AL,Hale,8628,62.59851645804358,37.14649976819657,Obama
AL,Henry,8700,35.01149425287357,64.42528735632183,Romney
AL,Houston,41843,29.51031235810052,69.81812967521451,Romney
AL,Jackson,20555,28.299683775237174,70.16297737776696,Romney
AL,Jefferson,303424,52.6187776840329,46.60573982282219,Obama
AL,Lamar,7159,22.95013270009778,76.16985612515714,Romney
AL,Lauderdale,36908,33.87883385715834,64.76102741952964,Romney
AL,Lawrence,14079,35.904538674621776,62.89509198096457,Romney
AL,Lee,54115,39.31257507160677,59.24789799501063,Romney
AL,Limestone,35406,27.704343896514715,71.35231316725978,Romney
AL,Lowndes,7519,76.43303630801968,23.3275701556058,Obama
AL,Macon,10385,87.09677419354837,12.729898892633607,Obama
AL,Madison,154632,39.96714780899167,58.64180764654146,Romney
AL,Marengo,11509,53.4711964549483,46.233382570162476,Obama
AL,Marion,12104,18.580634500991405,80.10575016523464,Romney
AL,Marshall,32455,19.322138345401324,79.44846710830382,Romney
AL,Mobile,174189,45.01834214560047,54.289306443001564,Romney
AL,Monroe,10680,45.852059925093634,53.65168539325842,Romney
AL,Montgomery,101781,61.890726166966324,37.613110501960094,Obama
AL,Morgan,49198,27.23891215090044,71.76917760884591,Romney
AL,Perry,6065,74.78977741137676,24.79802143446001,Obama
AL,Pickens,9599,46.338160225023444,53.32847171580373,Romney
AL,Pike,14057,42.747385644163046,56.477199971544415,Romney
AL,Randolph,10391,29.602540660186698,69.47358290828603,Romney
AL,Russell,18871,55.614434847119924,43.85565152880081,Obama
AL,St. Clair,35105,16.49337701182168,82.6121635094716,Romney
AL,Shelby,92204,21.630298034792414,77.26671294087024,Romney
AL,Sumter,7025,77.15302491103203,22.56227758007117,Obama
AL,Talladega,33317,41.654410661224,57.67926283879101,Romney
AL,Tallapoosa,18668,33.49046496678809,65.90422112706236,Romney
AL,Tuscaloosa,78495,40.770749729282116,58.22409070641442,Romney
AL,Walker,28497,22.988384742253572,75.91325402673965,Romney
AL,Washington,8761,33.911653920785305,65.62036297226344,Romney
AL,Wilcox,6547,74.33939208797923,25.599511226515965,Obama
AL,Winston,9712,13.241350906095553,85.56425041186164,Romney
AR,Arkansas,6488,37.82367447595561,59.987669543773116,Romney
AR,Ashley,7915,36.07075173720784,61.47820593809222,Romney
AR,Baxter,19339,26.74388541289622,70.77925435648173,Romney
AR,Benton,77525,28.56368913253789,68.98032892615285,Romney
AR,Boone,15363,24.48740480374927,72.53140662630997,Romney
AR,Bradley,3634,39.81838194826637,58.28288387451843,Romney
AR,Calhoun,2174,30.358785648574056,67.06531738730453,Romney
AR,Carroll,10172,36.28588281557216,60.174990169091615,Romney
AR,Chicot,4361,60.74294886493925,38.293969273102505,Obama
AR,Clark,8406,45.30097549369497,51.66547704020938,Romney
AR,Clay,5110,34.01174168297456,63.11154598825832,Romney
AR,Cleburne,11643,22.48561367345186,74.64570986859056,Romney
AR,Cleveland,3266,25.87262706674832,70.82057562767913,Romney
AR,Columbia,9455,37.62030671602327,61.23744050766789,Romney
