county,voters
Forest,3232
Cameron,3651
Sullivan,4242
Fulton,9344
Potter,10913
Montour,13518
Juniata,13547
Wyoming,17255
Elk,20302
Snyder,21573
Greene,22663
Clinton,22969
Union,23950
Clarion,24120
Mifflin,24445
McKean,25861
Tioga,26001
Susquehanna,26163
Perry,27245
Jefferson,28549
Huntingdon,28824
Warren,29111
Bedford,32189
Wayne,32577
Venango,32773
Carbon,39017
Columbia,39888
Bradford,40490
Pike,41840
Armstrong,42147
Clearfield,51174
Somerset,51860
Crawford,54711
Northumberland,54978
Indiana,57378
Adams,61156
Lawrence,61709
Lycoming,68064
Mercer,75238
Lebanon,81476
Blair,85328
Schuylkill,86316
Cambria,86988
Franklin,87406
Fayette,91681
Monroe,108879
Centre,112949
Beaver,115157
Butler,122762
Washington,142331
Lackawanna,149474
Cumberland,158194
Erie,176851
Dauphin,178924
Luzerne,194137
Northampton,209414
Lehigh,226453
Westmoreland,238006
Berks,250356
York,280280
Lancaster,314567
Chester,337822
Delaware,397338
Bucks,435606
Montgomery,551105
Allegheny,924351
Philadelphia,1099197
